w11,w12,w13,w21,w22,w23,w31,w32,w33,v1,v2,v3
-4.230794828047128142e+00
-5.735141432021506169e+00
-3.231811990883287411e+00
-6.151184072145106541e+00
-7.850830676119586293e+00
-4.921301234981388717e+00
-2.965095946431008489e+00
-5.578542550405543032e+00
-1.540113109267165603e+00
-2.831807013652952509e+00
-8.012960849542334785e+00
-2.640993891761493281e-02
