w11,w12,w13,w21,w22,w23,w31,w32,w33,v1,v2,v3
1.473530052552702418e+00
1.473530052552702418e+00
1.008251902476374973e+00
1.473530052552702418e+00
1.473530052552702418e+00
1.008251902476374973e+00
1.473530052552702418e+00
1.473530052552702418e+00
1.008251902476374973e+00
8.216452333592800805e-01
8.216452333592800805e-01
-2.134989521684207414e-01
