w11,w12,w13,w21,w22,w23,w31,w32,w33,v1,v2,v3
-2.024294224685264432e+00
-2.024294224685264432e+00
-8.101592106846350339e-01
-2.024294224685264432e+00
-2.024294224685264432e+00
-8.101592106846350339e-01
-9.473603626319884174e-01
-9.473603626319884174e-01
2.667746513686502507e-01
-3.987555630812777974e+00
-3.987555630812777974e+00
-5.240819983019846529e-01
1.002250506653530771e+00
1.000000000000000056e-01
1.000000000000000000e+00
